universityName,country,countryCode,continent,universitySize,universitySizeValue,shangaiRanking,courseraMOOCS,edXMOOCS,totalMOOCS,M2,ranking2,M9,ranking9,M10,ranking10
Delft University of Technology,Netherlands,NL,Europe,19613,3,151,,51,51,2.54,2,0.08,36,68.98,1
Universidad Carlos III de Madrid,Spain,ES,Europe,18676,3,501,,17,17,0.85,6,0.43,32,46.30,2
Swiss Federal Institute of Technology Lausanne,Switzerland,CH,Europe,10124,2,92,8,25,33,4.47,1,0.01,37,39.67,3
Catholic University of Louvain,Belgium,BE,Europe,29711,4,151,,24,24,0.44,11,0.64,27,32.46,4
The University of Edinburgh,UK,UK,Europe,35582,5,41,14,3,17,0.11,22,0.89,16,18.45,5
University of Notre Dame,France,FR,Europe,12179,2,501,,6,6,0.81,7,0.44,30,16.34,6
Ludwig-Maximilians-University of Munich (LMU),Germany,DE,Europe,50542,5,501,5,,5,0.03,31,0.97,5,13.62,7
Sorbonne University System,France,FR,Europe,57800,5,501,,5,5,0.03,32,0.97,6,13.62,8
Chalmers University of Technology,Sweden,SE,Europe,11000,2,201,,8,8,1.08,4,0.34,33,11.96,9
Autonomous University of Madrid,Spain,ES,Europe,36118,5,201,,8,8,0.05,25,0.95,11,11.96,10
The University of Manchester,UK,UK,Europe,38590,5,35,8,,8,0.05,26,0.95,12,8.58,11
KU Leuven,Belgium,BE,Europe,55484,5,93,,7,7,0.05,30,0.95,8,8.43,12
Swiss Federal Institute of Technology Zurich,Switzerland,CH,Europe,10851,2,19,,8,8,1.08,5,0.34,34,8.31,13
University College London,UK,UK,Europe,161270,5,17,8,,8,0.05,27,0.95,13,8.28,14
Centrale Superior Paris,France,FR,Europe,1394,1,501,3,,3,1.10,3,0.33,35,8.17,15
University of Zurich,Switzerland,CH,Europe,25732,4,54,6,,6,0.11,23,0.90,15,6.68,16
Karolinska Institute,Sweden,SE,Europe,5978,2,44,,6,6,0.81,8,0.44,31,6.55,17
Leiden University,Netherlands,NL,Europe,24270,3,93,5,,5,0.25,18,0.78,20,6.02,18
RWTH Aachen University,Germany,DE,Europe,42000,5,201,,4,4,0.03,34,0.97,4,5.98,19
Technical University Munich,Germany,DE,Europe,40000,5,47,2,3,5,0.03,33,0.97,7,5.49,20
Ecole Normale Superieure - Lyon,France,FR,Europe,2000,1,301,2,,2,0.74,9,0.48,28,3.65,21
Ecole Polytechnique,France,FR,Europe,2888,1,301,2,,2,0.74,10,0.48,29,3.65,22
University of Geneva,Switzerland,CH,Europe,14489,2,53,3,,3,0.41,12,0.67,26,3.34,23
IESE Business School,Spain,ES,Europe,2081,1,501,1,,1,0.37,13,0.69,22,2.72,24
HEC Paris,France,FR,Europe,4000,1,501,1,,1,0.37,14,0.69,23,2.72,25
IsraelX,Israel,ISR,Europe,0,1,501,,1,1,0.37,15,0.69,24,2.72,26
Institut Mines-Télécom ,France,FR,Europe,0,1,501,,1,1,0.37,16,0.69,25,2.72,27
ITMO University,Russia,RU,Europe,12000,2,501,,1,1,0.14,19,0.87,17,2.72,28
Copenhagen Business School,Denmark,DK,Europe,22829,3,501,1,,1,0.05,28,0.95,9,2.72,29
Technical University of Denmark,Denmark,DK,Europe,11190,2,151,2,,2,0.27,17,0.76,21,2.71,30
The Hebrew University of Jerusalem,Israel,ISR,Europe,23000,3,87,2,,2,0.10,24,0.91,14,2.38,31
Eindhoven University of Technology,Netherlands,NL,Europe,9711,2,201,1,,1,0.14,20,0.87,18,1.49,32
University of Lausanne,Switzerland,CH,Europe,13500,2,201,1,,1,0.14,21,0.87,19,1.49,33
Sapienza University of Rome,Italy,IT,Europe,112564,5,151,1,,1,0.01,35,0.99,2,1.35,34
Lund University,Sweden,SE,Europe,41000,5,101,1,,1,0.01,36,0.99,3,1.22,35
University of Oxford,UK,UK,Europe,22602,3,7,,1,1,0.05,29,0.95,10,1.01,36
The Imperial College of Science Technology and Medicine,UK,UK,Europe,16610,3,22,,0,0,0.00,37,1.00,1,0.00,37
San Francisco State University,San Francisco,US,America,12610,2,800,11,2,13,1.76,38,0.17,38,64.39,38
Cape Town University,South Africa,SA,Africa,26610,4,501,6,4,10,0.18,39,0.83,39,27.24,39
Melbourne University,Australia,AU,Oceania,48088,5,101,6,9,15,0.10,40,0.90,40,18.36,40
Hong Kong University,Hong-Kong,HK,Asia,11088,2,101,16,19,35,4.74,41,0.01,41,42.83,41
